,Train 25002500,Train 25022502,Train 25042504,Train 25062506,Train 25082508,Train 25102510,Train 25122512,Train 25142514,Train 25162516,
Bicycles Allowed?,,Bicycles allowed,Bicycles allowed,Bicycles allowed,Bicycles allowed,Bicycles allowed,Bicycles allowed,Bicycles allowed,Bicycles allowed,Bicycles allowed
Worcester,,¾07:00 AM07:00A¾,¾08:50 AM08:50A¾,¾10:50 AM10:50A¾,¾12:50 PM12:50P¾,¾02:30 PM02:30P¾,¾04:30 PM04:30P¾,¾06:30 PM06:30P¾,¾08:30 PM08:30P¾,¾11:00 PM11:00P¾
Accessible,,,,,,,,,,
Grafton,,¾07:13 AM07:13A¾,¾09:03 AM09:03A¾,¾11:03 AM11:03A¾,¾01:03 PM01:03P¾,¾02:43 PM02:43P¾,¾04:43 PM04:43P¾,¾06:43 PM06:43P¾,¾08:43 PM08:43P¾,Flag Stop11:13 PM11:13P¾
Accessible,,,,,,,,,,
Westborough,,¾07:17 AM07:17A¾,¾09:07 AM09:07A¾,¾11:07 AM11:07A¾,¾01:07 PM01:07P¾,¾02:47 PM02:47P¾,¾04:47 PM04:47P¾,¾06:47 PM06:47P¾,¾08:47 PM08:47P¾,Flag Stop11:17 PM11:17P¾
Accessible,,,,,,,,,,
Southborough,,¾07:25 AM07:25A¾,¾09:15 AM09:15A¾,¾11:15 AM11:15A¾,¾01:15 PM01:15P¾,¾02:55 PM02:55P¾,¾04:55 PM04:55P¾,¾06:55 PM06:55P¾,¾08:55 PM08:55P¾,Flag Stop11:25 PM11:25P¾
Accessible,,,,,,,,,,
Ashland,,¾07:30 AM07:30A¾,¾09:20 AM09:20A¾,¾11:20 AM11:20A¾,¾01:20 PM01:20P¾,¾03:00 PM03:00P¾,¾05:00 PM05:00P¾,¾07:00 PM07:00P¾,¾09:00 PM09:00P¾,Flag Stop11:30 PM11:30P¾
Accessible,,,,,,,,,,
Framingham,,¾07:40 AM07:40A¾,¾09:30 AM09:30A¾,¾11:30 AM11:30A¾,¾01:30 PM01:30P¾,¾03:10 PM03:10P¾,¾05:10 PM05:10P¾,¾07:10 PM07:10P¾,¾09:10 PM09:10P¾,Flag Stop11:40 PM11:40P¾
Accessible,,,,,,,,,,
West Natick,,¾07:44 AM07:44A¾,¾09:34 AM09:34A¾,¾11:34 AM11:34A¾,¾01:34 PM01:34P¾,¾03:14 PM03:14P¾,¾05:14 PM05:14P¾,¾07:14 PM07:14P¾,¾09:14 PM09:14P¾,Flag Stop11:44 PM11:44P¾
Accessible,,,,,,,,,,
Natick Center,,¾07:49 AM07:49A¾,¾09:39 AM09:39A¾,¾11:39 AM11:39A¾,¾01:39 PM01:39P¾,¾03:19 PM03:19P¾,¾05:19 PM05:19P¾,¾07:19 PM07:19P¾,¾09:19 PM09:19P¾,Flag Stop11:49 PM11:49P¾
Not accessible,,,,,,,,,,
Wellesley Square,,¾07:54 AM07:54A¾,¾09:44 AM09:44A¾,¾11:44 AM11:44A¾,¾01:44 PM01:44P¾,¾03:24 PM03:24P¾,¾05:24 PM05:24P¾,¾07:24 PM07:24P¾,¾09:24 PM09:24P¾,Flag Stop11:54 PM11:54P¾
Not accessible,,,,,,,,,,
Wellesley Hills,,¾07:57 AM07:57A¾,¾09:47 AM09:47A¾,¾11:47 AM11:47A¾,¾01:47 PM01:47P¾,¾03:27 PM03:27P¾,¾05:27 PM05:27P¾,¾07:27 PM07:27P¾,¾09:27 PM09:27P¾,Flag Stop11:57 PM11:57P¾
Not accessible,,,,,,,,,,
Wellesley Farms,,¾08:00 AM08:00A¾,¾09:50 AM09:50A¾,¾11:50 AM11:50A¾,¾01:50 PM01:50P¾,¾03:30 PM03:30P¾,¾05:30 PM05:30P¾,¾07:30 PM07:30P¾,¾09:30 PM09:30P¾,Flag Stop12:00 AM12:00A¾
Not accessible,,,,,,,,,,
Auburndale,,Flag Stop08:04 AM08:04A¾,Flag Stop09:54 AM09:54A¾,Flag Stop11:54 AM11:54A¾,Flag Stop01:54 PM01:54P¾,Flag Stop03:34 PM03:34P¾,Flag Stop05:34 PM05:34P¾,Flag Stop07:34 PM07:34P¾,Flag Stop09:34 PM09:34P¾,Flag Stop12:04 AM12:04A¾
Not accessible,,,,,,,,,,
West Newton,,Flag Stop08:07 AM08:07A¾,Flag Stop09:57 AM09:57A¾,Flag Stop11:57 AM11:57A¾,Flag Stop01:57 PM01:57P¾,Flag Stop03:37 PM03:37P¾,Flag Stop05:37 PM05:37P¾,Flag Stop07:37 PM07:37P¾,Flag Stop09:37 PM09:37P¾,Flag Stop12:07 AM12:07A¾
Not accessible,,,,,,,,,,
Newtonville,,Flag Stop08:10 AM08:10A¾,Flag Stop10:00 AM10:00A¾,Flag Stop12:00 PM12:00P¾,Flag Stop02:00 PM02:00P¾,Flag Stop03:40 PM03:40P¾,Flag Stop05:40 PM05:40P¾,Flag Stop07:40 PM07:40P¾,Flag Stop09:40 PM09:40P¾,Flag Stop12:10 AM12:10A¾
Not accessible,,,,,,,,,,
Boston Landing,,Early Departure08:16 AM08:16A¾,Early Departure10:06 AM10:06A¾,Early Departure12:06 PM12:06P¾,Early Departure02:06 PM02:06P¾,Early Departure03:46 PM03:46P¾,Early Departure05:46 PM05:46P¾,Early Departure07:46 PM07:46P¾,Early Departure09:46 PM09:46P¾,Early Departure12:16 AM12:16A¾
Accessible,,,,,,,,,,
Yawkey,,Early Departure08:21 AM08:21A¾,Early Departure10:11 AM10:11A¾,Early Departure12:11 PM12:11P¾,Early Departure02:11 PM02:11P¾,Early Departure03:51 PM03:51P¾,Early Departure05:51 PM05:51P¾,Early Departure07:51 PM07:51P¾,Early Departure09:51 PM09:51P¾,Early Departure12:21 AM12:21A¾
Accessible,,,,,,,,,,
Back Bay,,Early Departure08:25 AM08:25A¾,Early Departure10:15 AM10:15A¾,Early Departure12:15 PM12:15P¾,Early Departure02:15 PM02:15P¾,Early Departure03:55 PM03:55P¾,Early Departure05:55 PM05:55P¾,Early Departure07:55 PM07:55P¾,Early Departure09:55 PM09:55P¾,Early Departure12:25 AM12:25A¾
Accessible,,,,,,,,,,
South Station,,¾08:30 AM08:30A¾,¾10:20 AM10:20A¾,¾12:20 PM12:20P¾,¾02:20 PM02:20P¾,¾04:00 PM04:00P¾,¾06:00 PM06:00P¾,¾08:00 PM08:00P¾,¾10:00 PM10:00P,
Accessible,,,,,,,,,,